ID: 55 | Disease: Diabetes | Title: "Horse Gram Chutney Podi" | Category: "Snack" | Image: "/images/diabetes/8889cb3b8fba2d28d511ee240f465c7f3df0421b.jpg"
ID: 56 | Disease: Diabetes | Title: "Achari Kaddu Ki Sabzi" | Category: "Dinner" | Image: "/images/diabetes/88f9879753d3a8d2cb31bb6ddce0c8b1bea3e4dc.jpg"
ID: 57 | Disease: Diabetes | Title: "Potato Fenugreek Leaves Stir Fry ()" | Category: "Lunch" | Image: "/images/diabetes/8a34fadaf0a34d66b0303ba0e4302dc40f736419.jpg"
ID: 58 | Disease: Diabetes | Title: "Spicy And Tangy Mixed Vegetable Poha With Peanuts" | Category: "Breakfast" | Image: "/images/diabetes/8b0880c548732f367d23e75e3d34f7c2e4d0df31.jpg"
ID: 59 | Disease: Diabetes | Title: "Rice" | Category: "Lunch" | Image: "/images/diabetes/8d34fcb44fcd83fab7a882f886a97b101be46945.jpg"
ID: 60 | Disease: Diabetes | Title: "Vegetable Fried Brown Rice" | Category: "Lunch" | Image: "/images/diabetes/8ee64519e5129827e53694254bc1ca4722377ec1.jpg"
ID: 61 | Disease: Diabetes | Title: "Lauki Tamatar Ki Sabzi" | Category: "Lunch" | Image: "/images/diabetes/8f166f3b7f49859b5fa0e7edb7daeb8f307c5f24.jpg"
ID: 62 | Disease: Diabetes | Title: "Broccoli Egg Bhurji" | Category: "Breakfast" | Image: "/images/diabetes/90385f018416bf1dcd3c4a350673e79004a581d4.jpg"
ID: 63 | Disease: Diabetes | Title: "Rice 2" | Category: "Lunch" | Image: "/images/diabetes/904fa179e9fa9f4cc17bc9ee99cb8670fac4bdfa.jpg"
ID: 64 | Disease: Diabetes | Title: "Healthy Homemade Ragi Dosa" | Category: "Breakfast" | Image: "/images/diabetes/93a488c4b2a8487dce56ce3499fd6fe3195a8282.jpg"
ID: 65 | Disease: Diabetes | Title: "Punjabi  Egg Curry" | Category: "Lunch" | Image: "/images/diabetes/9c1f1caddc39024cb3be193ae1ee012cf5d9e831.jpg"
ID: 66 | Disease: Diabetes | Title: "Roasted Cauliflower 2" | Category: "Dinner" | Image: "/images/diabetes/a21b5899130fad073443acdc80bdaf0fb52ee496.jpg"
ID: 67 | Disease: Diabetes | Title: "Roasted Cauliflower 3" | Category: "Dinner" | Image: "/images/diabetes/a38db3d477c82542c6f2c513e06731204df34d44.jpg"
ID: 68 | Disease: Diabetes | Title: "Rajgira Ki Kheer" | Category: "Snack" | Image: "/images/diabetes/a468bd317d42f3fd8ebc123b26a2a0bad5c729e7.jpg"
ID: 69 | Disease: Diabetes | Title: "Rice 3" | Category: "Lunch" | Image: "/images/diabetes/a6e5c088e4ce047c995b2700424a252c170fba04.jpg"
ID: 70 | Disease: Diabetes | Title: "Kachumber Salad" | Category: "Dinner" | Image: "/images/diabetes/a73f9d90e23ed941876aaca0c0d8dd47c8cb8db5.jpg"
ID: 71 | Disease: Diabetes | Title: "Moong Dal Chilla ()" | Category: "Breakfast" | Image: "/images/diabetes/a9581a6448fcf93518f558b03b86797bc797a5c0.jpg"
ID: 72 | Disease: Diabetes | Title: "Stuffed Ridge Gourd" | Category: "Lunch" | Image: "/images/diabetes/ab18c5a285ca05c8112161a8e048f9848ac55eac.jpg"
ID: 73 | Disease: Diabetes | Title: "Bhel Puri" | Category: "Breakfast" | Image: "/images/diabetes/adabe18cee35508951349b197e09cc5760bc4187.jpg"
ID: 74 | Disease: Diabetes | Title: "Potato And Cauliflower In Peanut Curry" | Category: "Lunch" | Image: "/images/diabetes/b094e6af2454e247bd4442b7bc10acaab575e405.jpg"
ID: 75 | Disease: Diabetes | Title: "Sprouted Moong Chaat" | Category: "Snack" | Image: "/images/diabetes/b5463f542b06a35049494a0be207966c716838ca.jpg"
ID: 76 | Disease: Diabetes | Title: "Capsicum Curry (Recipe)" | Category: "Dinner" | Image: "/images/diabetes/b959ec14239b55c8b5b0b9df0da6ce41e30276aa.jpg"
ID: 77 | Disease: Diabetes | Title: "Stuffed Arbi Paratha" | Category: "Breakfast" | Image: "/images/diabetes/bb0328cc7b88369ffe949833cbd3b815df9e850a.jpg"
ID: 78 | Disease: Diabetes | Title: "Makhana Ki Sabzi" | Category: "Snack" | Image: "/images/diabetes/bb3ce1d05b78046a5870a73a72e83ca09f6281e1.jpg"
ID: 79 | Disease: Diabetes | Title: "Rajasthani Dal" | Category: "Lunch" | Image: "/images/diabetes/c085e08e18eee92ef9c21b5bbaec4155245b730e.jpg"
ID: 80 | Disease: Diabetes | Title: "Masala Roasted Aloo" | Category: "Dinner" | Image: "/images/diabetes/c5493236a889103fd3319dfc2d57fc2b89fd6638.jpg"
ID: 81 | Disease: Diabetes | Title: "Grated Cucumber Raita 2" | Category: "Dinner" | Image: "/images/diabetes/cc65ea7e3bb2a49f5112b4363279711071aee460.jpg"
ID: 82 | Disease: Diabetes | Title: "Drumstick Dal Soup" | Category: "Drink" | Image: "/images/diabetes/cf7b1d33a490bbc49472cc8da262e5f2868ad0f8.jpg"
ID: 83 | Disease: Diabetes | Title: "Moong Dal Chilla () 2" | Category: "Breakfast" | Image: "/images/diabetes/d1f10d61cd4f1297aa3c93d930427f467418fe54.jpg"
ID: 84 | Disease: Diabetes | Title: "Gluten Free Samosa" | Category: "Snack" | Image: "/images/diabetes/d51d81c05e6e89c3d8519ffd10e6822e797cefc4.jpg"
