Title: "Sweet Corn Soup" | Raw Category: "Drink" | Image: "/images/bp/BPFoodItems_extracted/page_035.jpg"
Title: "Carrot Soup" | Raw Category: "Drink" | Image: "/images/bp/BPFoodItems_extracted/page_036.jpg"
Title: "Indian Style Spinach Soup (Palak Shorba)" | Raw Category: "Drink" | Image: "/images/bp/BPFoodItems_extracted/page_037.jpg"
Title: "Indian Lentil Soup" | Raw Category: "Drink" | Image: "/images/bp/BPFoodItems_extracted/page_038.jpg"
Title: "Veg Clear Soup" | Raw Category: "Drink" | Image: "/images/bp/BPFoodItems_extracted/page_039.jpg"
Title: "Indian Tomato Soup" | Raw Category: "Drink" | Image: "/images/bp/BPFoodItems_extracted/page_040.jpg"
Title: "Oats Upma" | Raw Category: "Breakfast" | Image: "/images/bp/BPFoodItems_extracted/page_041.jpg"
Title: "Vegetable Poha" | Raw Category: "Breakfast" | Image: "/images/bp/BPFoodItems_extracted/page_042.jpg"
Title: "Kerala Style Vegetable Stew with Coconut Milk" | Raw Category: "Drink" | Image: "/images/bp/BPFoodItems_extracted/page_043.jpg"
Title: "Cucumber Curd Pachadi" | Raw Category: "Snack" | Image: "/images/bp/BPFoodItems_extracted/page_044.jpg"
Title: "Avial (Kerala Style Mixed Veg Curry)" | Raw Category: "Lunch" | Image: "/images/bp/BPFoodItems_extracted/page_045.jpg"
Title: "Traditional South Indian Spiced Rasam" | Raw Category: "Drink" | Image: "/images/bp/BPFoodItems_extracted/page_046.jpg"
Title: "Sambar" | Raw Category: "Lunch" | Image: "/images/bp/BPFoodItems_extracted/page_047.jpg"
Title: "Rava Dosa" | Raw Category: "Breakfast" | Image: "/images/bp/BPFoodItems_extracted/page_048.jpg"
Title: "Ragi Idli / Dosa" | Raw Category: "Breakfast" | Image: "/images/bp/BPFoodItems_extracted/page_049.jpg"
Title: "Plain Dosa" | Raw Category: "Breakfast" | Image: "/images/bp/BPFoodItems_extracted/page_050.jpg"
